랭킹,시도,시군구,N_전력가용량,전력_점수,전력가용량_신규,전력가용량_신규,N_지진,N_홍수,N_산사태,N_해안,N_산불,재해_점수,N_취수여유율,N_냉각일수,냉각_점수,N_발전량,N_접근성,신재생_점수,네트워크_점수,종합_점수
11,전북,정읍시,0.7655172413793103,76.55,2631450.0,2631450.0,0.04827586206896552,0.5275862068965518,0.5586206896551724,0.596551724137931,0.6551724137931034,41.36,0.6275862068965518,0.5310344827586206,58.9,0.9172413793103448,0.6827586206896552,87.03,52.23,66.862
12,경북,포항시북구,0.903448275862069,90.34,4832000.0,4832000.0,0.6137931034482759,0.9379310344827586,0.9517241379310345,0.04827586206896552,0.9620689655172414,73.96,0.4482758620689655,0.6896551724137931,54.48,0.32068965517241377,0.1724137931034483,29.1,40.76,65.168
13,광주,서구,0.9310344827586207,93.1,5722200.0,5722200.0,0.7172413793103448,0.8241379310344827,0.7517241379310344,0.596551724137931,0.6931034482758621,73.46,0.2482758620689655,0.42758620689655175,32.0,0.38620689655172413,0.7517241379310344,45.93,35.67,64.647
14,전북,군산시,0.6413793103448275,64.14,1537250.0,1537250.0,0.8206896551724138,0.04482758620689655,0.32413793103448274,0.14482758620689656,0.896551724137931,44.77,0.6482758620689655,0.5310344827586206,60.14,0.993103448275862,0.41379310344827586,87.72,63.06,64.127
15,강원,원주시,0.9586206896551724,95.86,6986100.0,6986100.0,0.5724137931034483,0.5482758620689655,0.296551724137931,0.596551724137931,0.593103448275862,51.63,0.13793103448275862,0.4827586206896552,27.59,0.5379310344827586,0.35172413793103446,50.07,93.63,64.091
16,경북,포항시남구,0.9655172413793104,96.55,7320600.0,7320600.0,0.3310344827586207,0.9379310344827586,0.9517241379310345,0.04827586206896552,0.9620689655172414,65.48,0.4482758620689655,0.3482758620689655,40.83,0.32068965517241377,0.5655172413793104,36.97,27.39,63.816
17,충남,서천군,0.6172413793103448,61.72,1472000.0,1472000.0,0.5103448275862069,0.6517241379310345,0.3758620689655172,0.14482758620689656,0.3586206896551724,45.81,0.7896551724137931,0.8206896551724138,80.21,0.6068965517241379,0.7655172413793103,63.86,69.43,63.051
18,충남,천안시,0.5,50.0,853812.5,853812.5,0.7034482758620689,0.2413793103448276,0.9517241379310345,0.596551724137931,0.5655172413793104,60.36,0.8137931034482758,0.7206896551724138,77.66,0.6206896551724138,0.6758620689655173,63.17,98.73,62.674
19,대구,서구,0.9724137931034482,97.24,8863800.0,8863800.0,0.2206896551724138,0.9379310344827586,0.8862068965517241,0.596551724137931,0.6931034482758621,64.21,0.6,0.2689655172413793,46.76,0.06206896551724138,0.7034482758620689,19.03,48.41,62.455
20,전북,익산시,0.5448275862068965,54.48,987000.0,987000.0,0.1793103448275862,0.4793103448275862,0.4379310344827586,0.596551724137931,0.6689655172413793,41.79,0.8206896551724138,0.47586206896551725,68.28,0.9586206896551724,0.6551724137931034,89.79,64.97,62.288
