랭킹,시도,시군구,종합_점수,전력_점수,재해_점수,냉각_점수,신재생_점수,네트워크_점수
132,전남,고흥군,36.107,13.1,24.84,58.76,72.41,6.37
133,전남,여수시,35.692,13.1,55.61,29.17,69.79,3.82
134,전남,순천시,34.825,13.1,46.09,18.62,80.28,24.84
135,전남,곡성군,34.809,30.34,60.88,23.72,26.62,38.85
136,부산,북구,33.58,13.1,64.76,56.21,19.86,16.56
137,경남,의령군,33.255,41.38,28.71,20.97,35.59,34.39
138,경남,통영시,33.106,31.03,55.05,34.62,20.28,5.1
139,전남,광양시,32.674,13.1,38.39,38.14,57.38,26.11
140,전남,장흥군,31.384,13.1,54.88,34.76,40.69,14.65
141,전남,보성군,31.047,13.1,42.1,38.62,46.48,20.38
142,전남,장성군,30.914,13.1,53.19,22.62,45.79,40.13
143,전남,함평군,30.54,13.1,55.46,31.45,34.9,31.85
144,전남,담양군,27.928,13.1,66.77,12.55,27.03,41.4
