시도,시군구,신재생발전량_GWh,신재생발전량_MWh,PPA가능용량_kW,신재생접근성_유효,시군구자급률
강원,인제군,148.878,148878.0,103402.745,6.465798878150598,0.4276059602373675
강원,춘천시,864.416,864416.0,53752.98,10.042771370785731,0.6379004074861678
전남,해남군,830.144,830144.0,279189.09,2.975020651043449,1.046162910033782
충남,계룡시,4.632,4632.0,1543.495,12.496401879860672,0.0150364163695881
부산,서구,4.198,4198.0,,154.0190317551697,0.0065178113751443
광주,광산구,327.599,327599.0,207456.295,50.89890577549209,0.0880370018713469
전북,익산시,1009.565,1009565.0,601624.691,18.467938340709537,0.3234319763319396
전북,군산시,4391.704,4391704.0,217348.68,11.613192178685908,0.7059548987997848
충남,보령시,402.924,402924.0,134026.417,26.030718747691772,0.2601783992485694
전남,영암군,683.193,683193.0,307639.615,4.821875725019286,0.5238900095519501
전남,강진군,284.582,284582.0,137140.455,3.513747050267468,0.689267713544696
강원,홍천군,194.1,194100.0,130199.846,7.599762725075077,0.2577760715123785
강원,강릉시,1814.845,1814845.0,69793.075,34.11998957668741,0.8727178136079421
전남,보성군,239.397,239397.0,139883.09,6.857652443645112,0.7595737592114796
광주,동구,17.53,17530.0,2314.855,12.17077761319873,0.0261358574311728
충남,서천군,248.946,248946.0,154815.94,27.18929811303169,0.2124030762186357
충남,공주시,248.333,248333.0,179740.501,15.327802897720948,0.2071404787042295
전북,정읍시,731.504,731504.0,444023.085,20.442581326441484,0.5219922179653087
강원,양양군,37.954,37954.0,10823.085,17.681494165477968,2.8021595007439632
강원,정선군,169.364,169364.0,32631.02,9.506232002287597,0.2704474454331831
경북,영천시,245.844,245844.0,187741.06,7.226721346273298,0.1562582611018911
강원,고성군,166.429,166429.0,90570.14,3.43838457300136,0.4583491686170032
경남,합천군,438.046,438046.0,151977.92,9.431339130308602,1.0616184741846153
충남,논산시,432.054,432054.0,318763.945,12.31571192870911,0.293203050110871
충북,청주시청원구,376.8655,0.0,,16.714311162360538,0.0617414720589334
전남,곡성군,97.471,97471.0,67719.58,8.5656194117082,0.2202133542089927
울산,남구,83.304,83304.0,8525.18,801.6444953514643,0.0054510407619896
경남,산청군,130.629,130629.0,65618.995,31.526892459239097,2.4879381300963503
충남,당진시,2310.393,2310393.0,139067.805,59.31027804099399,0.3438871615296414
충남,부여군,313.042,313042.0,191506.5,16.48048702426698,0.4556647136120302
강원,횡성군,172.31,172310.0,55289.44,7.575176441226142,0.2466166866294604
전남,장흥군,194.465,194465.0,115830.18,4.371205718598526,0.5059556915661217
전북,부안군,321.417,321417.0,203958.08,16.316232914508944,0.6276798047051221
광주,남구,30.416,30416.0,6352.74,17.60252379810225,0.0378712295495189
부산,영도구,7.21,7210.0,653.83,49.872437273990826,0.0139233172088124
강원,원주시,218.941,218941.0,106522.044,10.478979579442784,0.0801327961044011
전남,담양군,75.59,75590.0,82971.61,10.776456319133246,0.1370037565889943
경남,거창군,211.559,211559.0,128882.525,8.812304004439849,0.4440081575656317
전남,장성군,172.145,172145.0,116318.58,15.031494777056729,0.3090044483213777
대구,군위군,216.715,216715.0,106581.835,6.2051567359755815,0.6668333829613395
강원,영월군,337.602,337602.0,55202.43,9.879223102184346,0.3269882127597996
전남,무안군,455.989,455989.0,143461.17,5.972226986433853,0.5750766168718933
세종,전의면,42.889,0.0,,14.577803631548704,0.0413221087257485
충북,청주시상당구,376.8655,0.0,,14.083220992561326,0.0617414720589334
경북,문경시,245.61,245610.0,100268.39,9.002956405298889,0.3937683917903441
충남,청양군,90.375,90375.0,54584.695,16.23047293644769,0.2459111479309523
전남,진도군,151.913,151913.0,93094.985,2.2712178077769014,0.4149995416272927
경북,의성군,406.046,406046.0,235106.185,6.843087558481841,0.8650190264731791
전북,고창군,502.22,502220.0,212180.505,49.70162874126213,0.7312799990230185
경남,고성군,314.066,314066.0,46480.224,12.429195080386986,0.4283339972865342
세종,연서면,42.889,0.0,,40.51756687231656,0.0413221087257485
충북,보은군,185.221,185221.0,105880.0,10.584771975322932,0.4454259934575302
전남,화순군,340.283,340283.0,165464.905,7.775358805758018,0.6062721508066267
경북,예천군,244.127,244127.0,183439.171,12.191668753824729,0.5907102224614742
세종,금남면,42.889,0.0,,123.6137482778869,0.0413221087257485
경북,포항시북구,121.5135,0.0,,7.813661423238622,0.0232061785609789
대전,대덕구,65.481,65481.0,18120.03,12.353968283606646,0.0247391083717884
강원,속초시,20.489,20489.0,5910.44,8.299534398025768,0.0341195558763205
경북,영덕군,262.59,262590.0,124703.75,7.951031923535765,0.8828670327373611
경북,영주시,278.055,278055.0,175843.172,8.433707453416165,0.1602007052834105
