시도,시군구,연평균기온_C,평균풍속_ms,연간_15도이하_일수,취수여유량_m3년,취수여유율_%,N_기온,N_풍속,N_냉각일수,N_취수여유율,냉각_종합
경북,안동시,13.348928077455048,1.1564949659347237,188.25,12053575.0,29.5,0.4875129705657576,0.07175292361551434,0.5666666666666667,0.43007275666936134,0.4387916195323566
경남,합천군,13.323840830449829,1.515986967802397,189.625,1717326.0,24.7,0.4916404268160287,0.16944511552167096,0.5833333333333334,0.391269199676637,0.4376109861342972
부산,강서구,15.703038674033149,3.3908713692946058,169.8,638966794.0,60.1,0.10020508884982149,0.6789462053953118,0.3430303030303032,0.677445432497979,0.4375403807997299
충남,부여군,13.999589603283177,1.1236694677871149,189.0,14076362.0,38.6,0.38046348119645435,0.06283257254291442,0.5757575757575758,0.5036378334680679,0.43702895015197013
전북,진안군,12.458298850574712,1.4958808535706851,200.33333333333337,76492.0,2.6,0.634042925343046,0.1639812655338915,0.7131313131313136,0.21261115602263542,0.4342817291916198
경북,봉화군,12.610714285714286,1.4764216366158114,213.75,-205418.0,-5.0,0.608966915995597,0.15869321031368439,0.8757575757575757,0.1511721907841552,0.43417978729522483
경북,김천시,13.445379876796714,1.4397371567826114,188.0,5464465.0,27.3,0.4716443269493479,0.14872417838745622,0.5636363636363636,0.412287793047696,0.4340081058699011
부산,남구,15.503017832647464,2.873103448275862,169.8,638966794.0,60.1,0.1331133338952062,0.5382424266179645,0.3430303030303032,0.677445432497979,0.4333424764356106
부산,사하구,15.46643550624133,2.727638888888889,169.8,638966794.0,60.1,0.13913200751623134,0.49871233532984843,0.3430303030303032,0.677445432497979,0.4311950693931065
전남,고흥군,15.5789780521262,2.3019128236998325,168.375,5809753.0,66.0,0.1206160486173814,0.3830209924242244,0.32575757575757575,0.725141471301536,0.42969501749976646
전남,강진군,14.96111111111111,2.443440858348235,179.5,1627880.0,46.9,0.22227003906910836,0.42148133048221054,0.46060606060606063,0.570735650767987,0.4292446171973605
경북,구미시,14.337072503419972,1.573734610123119,180.5,63853631.0,43.7,0.3249394173069623,0.18513807593919002,0.4727272727272727,0.5448666127728375,0.4284877324405973
충북,청주시상당구,13.628669175504616,1.3472477682399453,188.5,37069094.0,28.0,0.44148882358134733,0.12359012520170795,0.5696969696969697,0.41794664510913504,0.425923711577623
경남,거제시,15.782178559117543,2.221178500788056,164.375,1039956.0,71.2,0.08718467201136282,0.3610813861844892,0.2772727272727273,0.767178658043654,0.42458954889386485
강원,횡성군,10.869291338582675,0.9747263390964152,141.5,10345872.0,23.6,0.8954729254436924,0.022357177720330326,0.0,0.38237671786580435,0.4238282825514625
부산,금정구,14.934112792297112,1.3864197530864195,169.8,638966794.0,60.1,0.22671191265182822,0.13423513827873168,0.3430303030303032,0.677445432497979,0.4210213212286738
충북,청주시청원구,13.7260492040521,1.9147826086956523,181.5,37069094.0,28.0,0.42546746390819234,0.27781809761606335,0.48484848484848486,0.41794664510913504,0.41957040394741507
경북,포항시남구,14.720013708019192,2.4857513090240104,180.25,132899027.0,37.9,0.2619363676666171,0.43297922374709413,0.4696969696969697,0.4979789814066289,0.41500981917674
경북,영양군,12.543131868131868,1.574862637362637,207.75,-241757.0,-9.2,0.6200858511183293,0.18544461809586066,0.803030303030303,0.11721907841552141,0.4120639091173541
경북,성주군,14.409752747252746,1.4128275862068964,181.0,347472.0,39.7,0.3129817670069349,0.14141148458860314,0.47878787878787876,0.5125303152789006,0.4088053804300768
부산,사상구,15.797264021887823,2.476685393258427,169.8,638966794.0,60.1,0.08470275011748296,0.4305155550752597,0.3430303030303032,0.677445432497979,0.40804661414802307
충북,증평군,13.78221614227086,1.3546494992846925,184.0,37069094.0,28.0,0.41622665003326265,0.12560155056278555,0.5151515151515151,0.41794664510913504,0.4076371111402144
부산,부산진구,15.43191196698762,1.7572214580467675,169.8,638966794.0,60.1,0.14481196107369287,0.2350007495633198,0.3430303030303032,0.677445432497979,0.40652789688369206
전남,보성군,14.41190150478796,1.631311722347634,183.16666666666663,1257356.0,33.6,0.3126282446488544,0.2007846946890283,0.5050505050505046,0.4632174616006467,0.4001640285139188
전남,광양시,14.47087912087912,1.7097626686204714,178.0,40486246.0,37.5,0.3029250065808866,0.22210379180019768,0.44242424242424244,0.49474535165723527,0.3994708703020284
충남,공주시,13.55871264367816,1.3218430643430643,189.33333333333337,200434.0,18.3,0.45299835766750396,0.11668637992915878,0.5797979797979803,0.3395311236863379,0.39934019072729826
부산,기장군,15.59575923392613,1.733241758241758,169.8,638966794.0,60.1,0.11785514010906062,0.22848425010566198,0.3430303030303032,0.677445432497979,0.3977892006485367
강원,삼척시,14.149454828660437,1.751477117627578,187.5,4538315.0,24.5,0.35580704276568575,0.2334397212130637,0.5575757575757576,0.3896523848019402,0.39746219038693975
대구,달성군,14.919023722627736,1.6922173141025931,176.4,178879450.0,44.7,0.22919442796746592,0.21733582997707748,0.4230303030303031,0.5529506871463218,0.3962782468525369
부산,해운대구,15.71473829201102,1.8270976616231085,169.8,638966794.0,60.1,0.0982802199577304,0.2539896546126352,0.3430303030303032,0.677445432497979,0.3944672650538349
경남,산청군,13.187835051546392,1.6988416247331712,194.5,152127.0,3.8,0.514016652556988,0.21913599082072996,0.6424242424242425,0.2223120452708165,0.39352826144234454
경북,경산시,14.911776859504132,1.629330289193303,175.5,16096610.0,44.1,0.23038671146067502,0.20024623890431967,0.4121212121212121,0.5481002425222312,0.39080497676176934
전남,무안군,15.142646048109963,2.399250297433384,179.25,40486246.0,37.5,0.19240317044846533,0.4094725160025955,0.4575757575757576,0.49474535165723527,0.3880814949128448
경북,청도군,14.16609589041096,1.7003550391349955,183.0,33558375.0,24.5,0.3530691873796781,0.2195472621964725,0.503030303030303,0.3896523848019402,0.38434249696038736
강원,속초시,13.824728260869565,1.8591730851323889,166.33333333333334,5844856.0,30.2,0.4092323828031441,0.2627061724006813,0.3010101010101011,0.4357316087308003,0.3835349957753517
부산,동래구,15.75184678522572,1.467128987517337,169.8,638966794.0,60.1,0.09217497922624274,0.1561679267070163,0.3430303030303032,0.677445432497979,0.3828535200438267
